Firm Name,name,Cluster ID,Match Confidence
gb helios pte. ltd. (f.k.a. goldbell financial services),gb helios   f k a goldbell financial services ,255,1.0
nomura securities (singapore) pte. ltd.,nomura securities singapore   ,256,1.0
adm capital,adm capital,257,1.0
hong leong finance ltd,hong leong finance ,258,1.0
eastvine capital pte ltd,eastvine capital  ,259,1.0
sing investments & finance ltd,sing investments finance ,260,1.0
zma smart capital pte. ltd.,zma smart capital   ,261,1.0
mufg trading (singapore) pte. ltd.,mufg trading singapore   ,262,1.0
orix leasing singapore ltd,orix leasing singapore ,263,1.0
capital match platform pte. ltd.,capital match platform   ,264,1.0
seatown holdings pte. ltd.,seatown holdings   ,265,1.0
modifi asia pte. ltd.,modifi asia   ,266,1.0
stonex financial pte. ltd.,stonex financial   ,267,1.0
horizon capital ag (singapore rep),horizon capital ag singapore rep ,268,1.0
hartree partners singapore pte. ltd,hartree partners singapore  ,269,1.0
traxys singapore pte. ltd.,traxys singapore   ,16,0.7175461649894714
freepoint commodities singapore pte. ltd.,freepoint commodities singapore   ,270,1.0
trafigura,trafigura,0,0.6866288185119629
glencore,glencore,9,0.6612392663955688
gunvor,gunvor,1,0.6060450077056885
vitol,vitol,2,0.5645192861557007
marubeni,marubeni,11,0.5746174454689026
trafigura,trafigura,0,0.6866288185119629
glencore,glencore,9,0.6612392663955688
seatrium,seatrium,271,1.0
agrocorp international,agrocorp international,14,0.6896745562553406
trafigura,trafigura,0,0.6866288185119629
wilmar international ltd,wilmar international ,5,0.7004098892211914
louis dreyfus company,louis dreyfus company,4,0.6415836811065674
rio tinto,rio tinto,28,0.7175461649894714
wilmar international,wilmar international,5,0.7004098892211914
musim mas group,musim mas group,272,1.0
cargill,cargill,8,0.523583710193634
sinar mas group,sinar mas group,29,0.7175461649894714
barramundi group,barramundi group,273,1.0
trafigura,trafigura,0,0.6866288185119629
gunvor,gunvor,1,0.6060450077056885
cofco international,cofco international,6,0.6954458951950073
bunge,bunge,10,0.5513501763343811
six one commodities,six one commodities,274,1.0
mercuria,mercuria,3,0.5702138543128967
vitol group,vitol group,2,0.6725156307220459
trafigura,trafigura,0,0.6866288185119629
mercuria energy group,mercuria energy group,3,0.6363406181335449
gunvor group,gunvor group,1,0.657231330871582
vale,vale,275,1.0
rio tinto,rio tinto,28,0.7175461649894714
wilmar international,wilmar international,5,0.7004098892211914
cofco international,cofco international,6,0.6954458951950073
olam food ingredients,olam food ingredients,276,1.0
louis dreyfus,louis dreyfus,4,0.5963057279586792
vitol group,vitol group,2,0.6725156307220459
trafigura,trafigura,0,0.6866288185119629
mercuria energy group,mercuria energy group,3,0.6363406181335449
gunvor group,gunvor group,1,0.657231330871582
